name,mnth,cnt
User Clicks,2021-08,86958
Client/InitStateSetupWPM1.3,2021-08,626
Client/SetVersionMessageWPM1.3,2021-08,648
Client/WriteOpportunityDetailsWPM1.3,2021-08,22
Client/Init/WPM1.3,2021-08,290
SearchEntity: opportunity-search,2021-08,896
WebApi/UnLock/CONSMPTN,2021-08,293
GetworkloadmetadatalistTime,2021-08,15788
Client/WriteOpportunityDetailsD365,2021-08,99
Client/InitStateSetupD365,2021-08,2600
Client/SetVersionMessageD365,2021-08,2899
Client/Init/D365,2021-08,950
WebApi/AutoLock/D365,2021-08,356
GetWorkloadSIAQuestionnaireData,2021-08,2423
WebApi/Init/D365,2021-08,1044
WebApi/Refresh/D365,2021-08,1177
Client/Refresh/D365,2021-08,807
Client/RefreshVersionCommentsD365,2021-08,803
Client/Save/D365,2021-08,1745
Client/InitStateSetupMWSC-LED,2021-08,273
Client/SetVersionMessageMWSC-LED,2021-08,297
Client/WriteOpportunityDetailsMWSC-LED,2021-08,27
Client/Init/MWSC-LED,2021-08,125
WebApi/Init/MWSC-LED,2021-08,138
WebApi/GetOpportunityWorkloadDashboardData,2021-08,5093
WebApi/ListSavedQuery,2021-08,13593
CONSMPTN-UserActions,2021-08,50
Client/Save/CONSMPTN,2021-08,459
Client/InitStateSetupCONSMPTN,2021-08,1570
Client/SetVersionMessageCONSMPTN,2021-08,1083
WebApi/Save/CONSMPTN,2021-08,480
WebApi/Init/WPM1.3,2021-08,354
Client/Init/CONSMPTN,2021-08,664
WebApi/AutoLock/CONSMPTN,2021-08,327
WebApi/Refresh/CONSMPTN,2021-08,469
WebApi/Init/CONSMPTN,2021-08,686
Client/Unlock/CAD,2021-08,271
Client/InitStateSetupCAD,2021-08,3238
WebApi/UnLock/CAD,2021-08,373
Client/PublishToCompassOneCONSMPTN,2021-08,247
Client/Unlock/CONSMPTN,2021-08,221
Client/Estimate/D365,2021-08,1196
WebApi/Save/D365,2021-08,1081
WebApi/Estimate/D365,2021-08,1235
Client/Unlock/D365,2021-08,183
WebApi/UnLock/D365,2021-08,251
Client/Save/CAD,2021-08,2064
WebApi/Refresh/WPM1.3,2021-08,392
Client/RefreshVersionCommentsCONSMPTN,2021-08,367
Client/Refresh/CONSMPTN,2021-08,367
WebApi/Lock/CONSMPTN,2021-08,56
Client/Lock/CONSMPTN,2021-08,55
Client/SetVersionMessageCAD,2021-08,3682
Client/Estimate/CAD,2021-08,1475
WebApi/Save/CAD,2021-08,1286
WebApi/Estimate/CAD,2021-08,1500
Client/Unlock/WPM1.3,2021-08,73
Click,2021-08,418
SearchAction: undefined,2021-08,102
WebApi/ExecuteSaveQuery,2021-08,223
WebApi/UnLock/WPM1.3,2021-08,105
WebApi/AutoLock/WPM1.3,2021-08,150
Client/Refresh/WPM1.3,2021-08,272
Client/RefreshVersionCommentsWPM1.3,2021-08,272
Client/GetOpportunityDataWPM1.3,2021-08,189
Client/SetVersionMessageAMO2104,2021-08,306
Client/InitStateSetupAMO2104,2021-08,244
Client/Save/AMO2104,2021-08,107
Client/Estimate/AMO2104,2021-08,97
WebApi/Save/AMO2104,2021-08,98
WebApi/UnLock/AMO2104,2021-08,36
WebApi/Estimate/AMO2104,2021-08,98
Client/Unlock/AMO2104,2021-08,28
Client/InitStateSetupMWSCE,2021-08,132
Client/Init/MWSCE,2021-08,71
WebApi/Refresh/MWSCE,2021-08,72
WebApi/Init/MWSCE,2021-08,85
Client/RefreshVersionCommentsMWSCE,2021-08,50
Client/Refresh/MWSCE,2021-08,50
Client/GetOpportunityDataD365,2021-08,434
Client/Lock/D365,2021-08,69
WebApi/Lock/D365,2021-08,68
WebApi/AutoLock/MWSCE,2021-08,45
MSXNotFound,2021-08,916
SearchEntity: consumption-savedsearch-index,2021-08,81
Client/WriteOpportunityDetailsMWSCE,2021-08,9
Client/SetVersionMessageMWSCE,2021-08,126
Client/WriteOpportunityDetailsMADMW1.3,2021-08,18
Client/InitStateSetupMADMW1.3,2021-08,184
Client/SetVersionMessageMADMW1.3,2021-08,181
Client/Init/MADMW1.3,2021-08,108
Client/WriteOpportunityDetailsCONSMPTN,2021-08,205
WebApi/AutoLock/MADMW1.3,2021-08,29
WebApi/Init/MADMW1.3,2021-08,119
CAD-UserActions,2021-08,554
WebApi/Init/CAD,2021-08,1369
Client/Init/CAD,2021-08,1197
WebApi/Refresh/CAD,2021-08,1600
Client/Refresh/CAD,2021-08,1164
Client/GetOpportunityDataCAD,2021-08,698
Client/RefreshVersionCommentsCAD,2021-08,1164
Client/GetOpportunityDataCONSMPTN,2021-08,155
WebApi/AutoLock/CAD,2021-08,456
Client/PublishToCompassOneD365,2021-08,157
Client/DownloadTemplateD365,2021-08,38
Client/UpgradeVersionD365,2021-08,35
Client/WriteOpportunityDetailsCAD,2021-08,103
WebApi/Refresh/AMO2104,2021-08,158
WebApi/Init/AMO2104,2021-08,108
Client/PublishToCompassOneCAD,2021-08,238
Client/PublishToCompassOneAMO2104,2021-08,55
Client/RefreshVersionCommentsAMO2104,2021-08,100
Client/Init/AMO2104,2021-08,102
Client/Refresh/AMO2104,2021-08,100
Client/GetOpportunityDataAMO2104,2021-08,85
Client/Init/ADH2.0,2021-08,11
Client/SetVersionMessageADH2.0,2021-08,26
Client/InitStateSetupADH2.0,2021-08,23
Client/Refresh/ADH2.0,2021-08,10
Client/GetOpportunityDataADH2.0,2021-08,9
Client/RefreshVersionCommentsADH2.0,2021-08,10
WebApi/Refresh/ADH2.0,2021-08,14
WebApi/Init/ADH2.0,2021-08,10
Client/Save/ADH2.0,2021-08,8
Client/Estimate/ADH2.0,2021-08,7
WebApi/Estimate/ADH2.0,2021-08,7
WebApi/Save/ADH2.0,2021-08,7
WebApi/Estimate/O365,2021-08,146
Client/SavingD365,2021-08,253
User Clicked on Do Not Have MsxId,2021-08,38
Client/RefreshVersionCommentsMADMW1.3,2021-08,63
Client/GetOpportunityDataMADMW1.3,2021-08,45
Client/Refresh/MADMW1.3,2021-08,63
WebApi/Refresh/MADMW1.3,2021-08,101
